Id;CodeEcole2;Ecole;CodeProvinceEducationnelle;ProvinceEduc;CodeAnnee;Annee;CodeOption;Option;PartTot;PartH;PartF;ReussTot;ReussH;ReussF;TypeEcole
8445;11063057;COMPLEXE SCOLLEGEAIRE TRESOR CACHE;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;16;10;6;2;1;1;PRIVEE AGREE
8446;11063067;COMPLEXE SCOLLEGEAIRE WASSON;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;8;5;3;5;2;3;PRIVEE AGREE
8447;11063077;GROUPE SCOLLEGEAIRE PAPA KUBA;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;15;8;7;0;0;0;PRIVEE AGREE
8448;11063087;GROUPE SCOLLEGEAIRE FRANCOIS XAVIE;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;21;12;9;12;3;9;PRIVEE AGREE
8449;11063097;INSAINTITUTITUT 3 KISENSO;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;PRIVEE AGREE
8450;11064017;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;PRIVEE AGREE
8451;11064027;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;PRIVEE AGREE
8452;11064037;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;PRIVEE AGREE
8453;11065017;COLLEGEEGE BOYOKANI;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;14;9;5;4;1;3;PRIVEE AGREE
8454;11065026;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;18;7;11;PROTESTANT
8455;11065037;COLLEGEEGE SAINTE MARTINE;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;22;13;9;0;0;0;PRIVEE AGREE
8456;11065047;COMPLEXE SCOLLEGEAIRE BANA KISENSO;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;8;5;3;0;0;0;PRIVEE AGREE
8457;11065057;COMPLEXE SCOLLEGEAIRE DORA;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;7;5;2;0;0;0;PRIVEE AGREE
8458;11065067;COMPLEXE SCOLLEGEAIRE PAPA MAMPIA;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;8;5;3;0;0;0;PRIVEE AGREE
8459;11065077;COMPLEXE SCOLLEGEAIRE SAGESSE;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;27;18;9;18;9;9;PRIVEE AGREE
8460;11065087;GROUPE SCOLLEGEAIRE LEROUGE SCHOOL;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;39;22;17;6;2;4;PRIVEE AGREE
8461;11065096;INSAINTITUTITUT CLARAPIE;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;8;5;3;2;0;2;PROTESTANT
8462;11065102;INSAINTITUTITUT DE LA COLLEGEINE;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;71;48;23;48;25;23;CATHOLIQUE
8463;11065115;INSAINTITUTITUT MANGOMA;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;7;5;2;5;3;2;ISLAMIQUE
8464;11065125;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;14;10;4;9;5;4;ISLAMIQUE
8465;11066017;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;PRIVEE AGREE
8466;11066027;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;PRIVEE AGREE
8467;11066037;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;70;36;34;PRIVEE AGREE
8468;11066041;INSAINTITUTITUT MAMAN BUKA;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;9;5;4;0;0;0;NON-CONVENTIONNEE
8469;11067017;COLLEGEEGE LA PROSPERITE 2;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;24;14;10;0;0;0;PRIVEE AGREE
8470;11067027;COLLEGEEGE LE PALMIER DU CIEL;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;10;7;3;0;0;0;PRIVEE AGREE
8471;11067037;COLLEGEEGE MONSIEUR NOEL;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;25;17;8;6;3;3;PRIVEE AGREE
8472;11067047;COLLEGEEGE REVERENOTRE DAME MBUNOTRE DAMEANI ALBERTO;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;10;5;5;0;0;0;PRIVEE AGREE
8473;11067057;COLLEGEEGE SAINT ACHILLE;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;8;5;3;0;0;0;PRIVEE AGREE
8474;11067067;GROUPE SCOLLEGEAIRE BERCEAU DIVIN;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;15;8;7;0;0;0;PRIVEE AGREE
8475;11067077;GROUPE SCOLLEGEAIRE KALAMBA;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;42;26;16;24;10;14;PRIVEE AGREE
8476;11067086;INSAINTITUTITUT HAUT KISENSO;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;6;5;1;2;1;1;PROTESTANT
8477;11067096;INSAINTITUTITUT NTEMO 2;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;7;5;2;0;0;0;PROTESTANT
8478;11067106;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;PROTESTANT
8479;11067116;INSAINTITUTITUT SALAZAKU;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;26;17;9;3;2;1;PROTESTANT
8480;11067127;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;65;37;28;30;8;22;PRIVEE AGREE
8481;11068017;COLLEGE BILINGUE REVERENOTRE DAME NGELUNGIDI;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;22;13;9;10;3;7;PRIVEE AGREE
8482;11068027;COLLEGEEGE BON PASAINTEUR;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;41;26;15;26;11;15;PRIVEE AGREE
8483;11068037;COLLEGEEGE CHRISAINT VAINQUEUR;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;20;11;9;11;2;9;PRIVEE AGREE
8484;11068047;COLLEGEEGE LE PALMIER;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;12;8;4;6;3;3;PRIVEE AGREE
8485;11068057;COLLEGEEGE LES 3 ADONIS;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;61;33;28;0;0;0;PRIVEE AGREE
8486;11068067;COLLEGEEGE LES PREDESAINTINES;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;9;5;4;0;0;0;PRIVEE AGREE
8487;11068077;COLLEGEEGE SAINT MARC;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;34;19;15;0;0;0;PRIVEE AGREE
8488;11068087;COLLEGEEGE SAINT MARTIN;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;14;7;7;0;0;0;PRIVEE AGREE
8489;11068097;COMPLEXE SCOLLEGEAIREPASAINTEUR MOZART;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;59;37;22;33;14;19;PRIVEE AGREE
8490;11068107;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;PRIVEE AGREE
8491;11068117;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;7;5;2;0;0;0;PRIVEE AGREE
8492;11068127;GROUPE SCOLLEGEAIRE SAINTE THERESE;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;31;21;10;0;0;0;PRIVEE AGREE
